"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"368",14,"Carolina Panthers",CAR,"DST24","5","","","3 out of 5 stars","-114"
"369",14,"Ty Simpson",LAR,"QB40","11","","","3 out of 5 stars","-99"
"370",14,"Kevin Coleman Jr.",MIA,"WR131","6","","","3 out of 5 stars","+307"
"371",14,"Roschon Johnson",CHI,"RB104","10","","","2 out of 5 stars","-32"
"372",14,"Michael Carter",TEN,"RB105","9","","","3 out of 5 stars","+209"
"373",14,"Odell Beckham Jr.",NYG,"WR132","8","","","4 out of 5 stars","-90"
"374",14,"Colbie Young",CIN,"WR133","6","","","4 out of 5 stars","-27"
"375",14,"KaVontae Turpin",DAL,"WR134","14","","","2 out of 5 stars","-24"
"376",14,"Savion Williams",GB,"WR135","11","","","5 out of 5 stars","+282"
"377",14,"Anthony Richardson Sr.",IND,"QB41","13","","","4 out of 5 stars","+49"
"378",14,"Tampa Bay Buccaneers",TB,"DST25","10","","","4 out of 5 stars","-92"
"379",14,"Demarcus Robinson",SF,"WR136","8","","","2 out of 5 stars","+26"
"380",14,"Raheim Sanders",CLE,"RB106","11","","","3 out of 5 stars","+264"
"381",14,"John Metchie III",CAR,"WR137","5","","","2 out of 5 stars","+269"
"382",14,"Sione Vaki",DET,"RB107","6","","","5 out of 5 stars","+87"
"383",14,"Tutu Atwell",LAR,"WR138","11","","","1 out of 5 stars","+252"
"384",14,"Noah Fant",NO,"TE52","8","","","2 out of 5 stars","+73"
"385",14,"Joe Flacco",CIN,"QB42","6","","","3 out of 5 stars","-47"
"386",14,"Kyle Juszczyk",SF,"RB108","8","","","2 out of 5 stars","+20"
"387",14,"Dont'e Thornton Jr.",LV,"WR139","13","","","2 out of 5 stars","+226"
"388",14,"Rasheen Ali",BAL,"RB109","13","","","3 out of 5 stars","-"
"389",14,"Jameis Winston",NYG,"QB43","8","","","4 out of 5 stars","-75"
"390",14,"Daniel Carlson",NO,"K22","8","","","5 out of 5 stars","-"
"391",14,"Tennessee Titans",TEN,"DST26","9","","","2 out of 5 stars","-125"
"392",14,"CJ Daniels",LAR,"WR140","11","","","1 out of 5 stars","-33"
"393",14,"Tommy Tremble",CAR,"TE53","5","","","2 out of 5 stars","-3"
"394",14,"Jaylin Lane",WAS,"WR141","7","","","2 out of 5 stars","+205"
"395",14,"Zane Gonzalez",FA,"K23","-","","","-","+88"
"396",14,"Jawhar Jordan",HOU,"RB110","8","","","4 out of 5 stars","+267"
"397",14,"Spencer Shrader",IND,"K24","13","","","4 out of 5 stars","-153"
"398",14,"J'Mari Taylor",JAC,"RB111","7","","","4 out of 5 stars","-"
"399",14,"Justin Joly",MIA,"TE54","6","","","5 out of 5 stars","+10"
"400",14,"Ben Sinnott",WAS,"TE55","7","","","1 out of 5 stars","+262"
"401",14,"Cincinnati Bengals",CIN,"DST27","6","","","4 out of 5 stars","-145"
"402",14,"Nick Folk",ATL,"K25","11","","","0 out of 5 stars","-36"
"403",14,"Ashton Dulin",IND,"WR142","13","","","4 out of 5 stars","+7"
"404",14,"Cade Klubnik",NYJ,"QB44","13","","","4 out of 5 stars","+107"
"405",14,"Barion Brown",NO,"WR143","8","","","3 out of 5 stars","-50"
"406",14,"Marcus Mariota",WAS,"QB45","7","","","2 out of 5 stars","+112"
"407",14,"Blake Grupe",NYJ,"K26","13","","","2 out of 5 stars","-101"
"408",14,"Mitchell Evans",CAR,"TE56","5","","","2 out of 5 stars","+56"
"409",14,"Las Vegas Raiders",LV,"DST28","13","","","4 out of 5 stars","-144"
"410",14,"Daniel Bellinger",TEN,"TE57","9","","","3 out of 5 stars","+193"
"411",14,"Nick Westbrook-Ikhine",FA,"WR144","-","","","-","+260"
"412",14,"Jonnu Smith",GB,"TE58","11","","","2 out of 5 stars","-5"
"413",14,"Ryan Fitzgerald",CAR,"K27","5","","","0 out of 5 stars","-78"
"414",14,"Luke Musgrave",GB,"TE59","11","","","2 out of 5 stars","+95"
"415",14,"Jordan Whittington",LAR,"WR145","11","","","1 out of 5 stars","-45"
"416",14,"Phil Mafah",FA,"RB112","-","","","-","-"
"417",14,"Devontez Walker",BAL,"WR146","13","","","4 out of 5 stars","-99"
"418",14,"Joey Slye",TEN,"K28","9","","","4 out of 5 stars","-96"
